"movie_rank","movie_name","release_year","release_season","duration","imdb_rate","vote_count","genre1","genre2","genre3","country","language_","box_office","age_group_rate"
53,"Once Upon a Time in the West",1968,"winter","2h 46m",8.5,"373k","western","drama","epic","italy","english italian",5435312,"PG-13"
54,"City Lights",1931,"spring","1h 27m",8.5,"209k","comedy","drama","romance","US","english",55154,"G"
55,"Apocalypse Now",1979,"summer","2h 27m",8.4,"751k","war","epic","drama","US","english",105162859,"R"
56,"WALL·E",2008,"summer","1h 38m",8.4,"1.3m","sci-fi","animation","adventure","US","english",527403656,"G"
57,"Memento",2000,"spring","1h 53m",8.4,"1.4m","psychological thriller","drama","mystry","US","english",40060108,"R"
58,"Dune: Part Two",2024,"winter","2h 46m",8.5,"663k","epic","drama","sci-fi","US","english",714844358,"PG-13"
59,"Raiders of the Lost Ark",1981,"summer","1h 55m",8.4,"1.1m","adventure","quest","action","US","english",389925971,"PG"
60,"Avengers: Infinity War",2018,"spring","2h 29m",8.4,"1.3m","sci-fi","superhero","action","US","english",2052415039,"PG-13"
61,"The Lives of Others",2006,"spring","2h 17m",8.4,"432k","thriller","drama","mystry","germany","german",77672685,"R"
62,"Sunset Boulevard",1950,"summer","1h 50m",8.4,"252k","drama","dark comedy","tragedy","US","english",312751,"Approved"
63,"Spider-Man: Into the Spider-Verse",2018,"winter","1h 57m",8.4,"750k","superhero","animation","fantasy","US","english",393602435,"PG"
64,"Witness for the Prosecution",1957,"winter","1h 56m",8.4,"135k","legal","mystry","drama","US","english",7903,"Approved"
65,"Paths of Glory",1957,"winter","1h 28m",8.4,"230k","psychological drama","war","tragedy","US","english",8290,"Approved"
66,"The Shining",1980,"spring","2h 26m",8.4,"1.2m","psychological horror","drama","psychological drama","US","english",47970919,"R"
67,"The Great Dictator",1940,"autumn","2h 5m",8.4,"251k","political","drama","comedy","US","english",972212,"G"
68,"Inglourious Basterds",2009,"summer","2h 33m",8.4,"1.7m","war","drama","dark comedy","german american","english",321460744,"R"
69,"12th Fail",2023,"autumn","2h 27m",8.7,"155k","drama","biography","docudrama","india","hindi",138288,"Not Rated"
70,"Aliens",1986,"summer","2h 17m",8.4,"819k","horror","monster horror","sci-fi","US","english",131060248,"R"
71,"The Dark Knight Rises",2012,"summer","2h 44m",8.4,"1.9m","epic","action","superhero","US","english",1115050227,"PG-13"
72,"Coco",2017,"autumn","1h 45m",8.4,"667k","musical","drama","animation","US","english",814641172,"PG"
73,"Amadeus",1984,"autumn","2h 40m",8.4,"454k","musical","drama","biography","US","english",52268382,"PG"
74, "Avengers: Endgame", "2019", "spring", "181", "8.4", "1400000", "sci-fi", "action", "superhero", "US", "english", 2799439100, "PG-13"
75,"Good Will Hunting",1995,"winter","2h 6m",8.3,"1.2m","romance","coming of age","psychological drama","US","english",225933435,"R"
76,"Toy Story",1995,"autumn","1h 21m",8.3,"1.1m","animation","adventure","fantasy","US","english",39443658,"G"
77,"High and Low",1963,"spring","2h 33m",8.4,"63k","crime","drama","thriller","japan","japanese",64503,"Not Rated"
78,"Dr. Strangelove",1964,"winter","1h 35m",8.3,"543k","war","comedy","tragedy","US","english",9669164,"PG"
79,"Oldboy",2003,"autumn","2h",8.3,"692k","thriller","mystry","drama","south korea","korean",17617021,"R"
80,"Das Boot",1981,"autumn","2h 29m",8.4,"282k","war","drama","epic","germany","german",11489051,"Not Rated"
81,"Braveheart",1995,"spring","2h 58",8.3,"1.1","war","drama","epic","US","english",213216216,"R"
82,"Your Name.",2016,"spring","1h 46m",8.4,"369k","romance","drama","animation","japan","japanese",405349022,"Not Rated"
