"movie_rank","movie_name","release_year","release_season","duration","imdb_rate","vote_count","genre1","genre2","genre3","country","language_","box_office","age_group_rate"
237,"Stand by Me",1986,"summer","1h 29m",8.1,"471k","drama","comedy","adventure","US","english",53525035,"R"
238,"The Iron Giant",1999,"summer","1h 26m",8.1,"250k","sci-fi","animation","action","US","english",23339506,"PG"
239,"My Father and My Son",2005,"autumn","1h 52m",8.2,"99k","drama","political","family","turkey","turkish",18612999,"Not Rated"
240,"The Handmaiden",2016,"spring","2h 25m",8.1,"193k","thriller","romance","drama","south korea","korean",37863670,"Not Rated"
241,"Network",1976,"autumn","2h 1m",8.1,"182k","drama","dark comedy","workplace drama","US","english",23701317,"R"
242,"The Battle of Algiers",1966,"summer","2h 1m",8.1,"73k","war","drama","political drama","italian algerian","french arabic",962002,"Not Rated"
243,"The Grapes of Wrath",1940,"spring","2h 9m",8.1,"106k","period drama","tragedy","drama","US","english",7304,"Approved"
244,"To Be or Not to Be",1942,"winter","1h 39m",8.1,"48k","war","romance","comedy","US","english",0,"Approved"
245,"Into the Wild",2007,"autumn","2h 28m",8.0,"685k","drama","adventure","coming of age","US","english",56676733,"R"
246,"Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train",2020,"autumn","1h 57m",8.2,"89k","superhero","adventure","animation","japan","japanese",486451200,"TV-MA"
247,"The Help",2011,"summer","2h 26m",8.1,"519k","period drama","drama","drama","US","english",221802186,"Not Rated"
248,"Gangs of Wasseypur",2012,"summer","5h 21m",8.2,"110k","thriller","drama","crime","india","hindi",4384642,"PG-13"
249,"Drishyam",2015,"summer","2h 43m",8.2,"104k","mystry","drama","thriller","india","hindi",1800000,"PG"
250,"Groundhog Day",1993,"winter","1h 41m",8.0,"725k","romance","drama","comedy","US","english",71108778,"Not Rated"
